,Age,p_die_stI,p_die_stII,p_die_stIII,p_die_stIV
66,86,0.14672953392161625,0.1601263492936359,0.19213957323033826,0.3506458024107454
67,87,0.1580388499678571,0.17125810286106313,0.2028470209281118,0.3592523956756474
68,88,0.17094270899960173,0.1839593642125794,0.21506415193028006,0.3690724648805197
69,89,0.18476733888447738,0.19756693980867213,0.22815305145595788,0.37959325729364557
70,90,0.19942280866122986,0.2119923106536149,0.24202857456268345,0.39074633383327406
71,91,0.21428720609763152,0.22662332887909997,0.2561019064475143,0.40205840808603
72,92,0.2304737435006945,0.24255572874697107,0.2714270155825588,0.4143766546736821
73,93,0.24624355151467903,0.25807794210625423,0.2863575731709458,0.4263777626882619
74,94,0.2622508872831164,0.27383395390367316,0.3015130175692138,0.438559633603387
75,95,0.2820288759055454,0.2933014172324957,0.3202384451614694,0.45361103927417346
76,96,0.3022625061613453,0.3132173683705729,0.3393952656813167,0.46900919643699934
77,97,0.31942379864596826,0.3301092191293872,0.3556432545918726,0.4820692492033435
78,98,0.33415885979001814,0.34461293171340834,0.3695941333079955,0.49328289620743904
79,99,0.3478955479899608,0.3581339463573643,0.38259977130061307,0.5037367634139341
80,100,0.36278652280406876,0.37279112468111564,0.3966982661467201,0.5150690635299546
